Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
AJMER,13,BHAGIRATH CHOUDHARY,BHARATIYA JANATA PARTY,RAMCHANDRA CHOUDHARY,INDIAN NATIONAL CONGRESS,329991,Result Declared
ALWAR,8,BHUPENDER YADAV,BHARATIYA JANATA PARTY,LALIT YADAV,INDIAN NATIONAL CONGRESS,48282,Result Declared
AMBALA,1,VARUN CHAUDHRY,INDIAN NATIONAL CONGRESS,BANTO KATARIA,BHARATIYA JANATA PARTY,49036,Result Declared
ANANTNAG-RAJOURI,3,MIAN ALTAF AHMAD,JAMMU & KASHMIR NATIONAL CONFERENCE,MEHBOOBA MUFTI,JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY,281794,Result Declared
ARAKKONAM,7,S JAGATHRATCHAKAN,DRAVIDA MUNNETRA KAZHAGAM,L VIJAYAN,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,306559,Result Declared
ARANI,12,THARANIVENTHAN M S,DRAVIDA MUNNETRA KAZHAGAM,"GAJENDRAN, G.V.",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,208766,Result Declared
ADILABAD,1,GODAM NAGESH,BHARATIYA JANATA PARTY,ATHRAM SUGUNA,INDIAN NATIONAL CONGRESS,90652,Result Declared
AGRA,18,PROF S P SINGH BAGHEL,BHARATIYA JANATA PARTY,SURESH CHAND KARDAM,SAMAJWADI PARTY,271294,Result Declared
AHMEDABAD EAST,7,HASMUKHBHAI PATEL (H.S.PATEL),BHARATIYA JANATA PARTY,HIMMATSINH PRAHLADSINH PATEL,INDIAN NATIONAL CONGRESS,461755,Result Declared
AHMEDABAD WEST,8,DINESHBHAI MAKWANA (ADVOCATE),BHARATIYA JANATA PARTY,BHARAT YOGENDRA MAKWANA,INDIAN NATIONAL CONGRESS,286437,Result Declared
AHMEDNAGAR,37,NILESH DNYANDEV LANKE,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,DR. SUJAY RADHAKRISHNA VIKHEPATIL,BHARATIYA JANATA PARTY,28929,Result Declared
AKBARPUR,44,DEVENDRA SINGH ALIAS BHOLE SINGH,BHARATIYA JANATA PARTY,RAJARAM PAL,SAMAJWADI PARTY,44345,Result Declared
AKOLA,6,ANUP SANJAY DHOTRE,BHARATIYA JANATA PARTY,ABHAY KASHINATH PATIL,INDIAN NATIONAL CONGRESS,40626,Result Declared
ALAPPUZHA,15,K. C VENUGOPAL,INDIAN NATIONAL CONGRESS,A. M ARIFF,COMMUNIST PARTY OF INDIA (MARXIST),63513,Result Declared
ALATHUR,9,K.RADHAKRISHNAN,COMMUNIST PARTY OF INDIA (MARXIST),RAMYA HARIDAS,INDIAN NATIONAL CONGRESS,20111,Result Declared
ALIGARH,15,SATISH KUMAR GAUTAM,BHARATIYA JANATA PARTY,BIJENDRA SINGH,SAMAJWADI PARTY,15647,Result Declared
ALIPURDUARS,2,MANOJ TIGGA,BHARATIYA JANATA PARTY,PRAKASH CHIK BARAIK,ALL INDIA TRINAMOOL CONGRESS,75447,Result Declared
ALLAHABAD,52,UJJWAL RAMAN SINGH,INDIAN NATIONAL CONGRESS,NEERAJ TRIPATHI,BHARATIYA JANATA PARTY,58795,Result Declared
ALMORA,3,AJAY TAMTA,BHARATIYA JANATA PARTY,PRADEEP TAMTA,INDIAN NATIONAL CONGRESS,234097,Result Declared
AMALAPURAM (SC),7,G M HARISH (BALAYOGI),TELUGU DESAM,RAPAKA VARAPRASADA RAO,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,342196,Result Declared
AMBEDKAR NAGAR,55,LALJI VERMA,SAMAJWADI PARTY,RITESH PANDEY,BHARATIYA JANATA PARTY,137247,Result Declared
AMETHI,37,KISHORI LAL,INDIAN NATIONAL CONGRESS,SMRITI IRANI,BHARATIYA JANATA PARTY,167196,Result Declared
AMRAVATI,7,BALWANT BASWANT WANKHADE,INDIAN NATIONAL CONGRESS,NAVNEET RAVI RANA,BHARATIYA JANATA PARTY,19731,Result Declared
AMRELI,14,BHARATBHAI MANUBHAI SUTARIYA,BHARATIYA JANATA PARTY,JENNY THUMMAR,INDIAN NATIONAL CONGRESS,321068,Result Declared
AMRITSAR,2,GURJEET SINGH AUJLA,INDIAN NATIONAL CONGRESS,KULDEEP SINGH DHALIWAL,AAM AADMI PARTY,40301,Result Declared
AMROHA,9,KANWAR SINGH TANWAR,BHARATIYA JANATA PARTY,KUNWAR DANISH ALI,INDIAN NATIONAL CONGRESS,28670,Result Declared
ANAKAPALLE,5,C.M.RAMESH,BHARATIYA JANATA PARTY,BUDI MUTYALA NAIDU,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,296530,Result Declared
ANAND,16,MITESH PATEL (BAKABHAI),BHARATIYA JANATA PARTY,AMIT CHAVDA,INDIAN NATIONAL CONGRESS,89939,Result Declared
ANANDPUR SAHIB,6,MALVINDER SINGH KANG,AAM AADMI PARTY,VIJAY INDER SINGLA,INDIAN NATIONAL CONGRESS,10846,Result Declared
ANANTHAPUR,19,AMBICA G LAKSHMINARAYANA VALMIKI,TELUGU DESAM,MALAGUNDLA SANKAR NARAYANA,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,188555,Result Declared
ANDAMAN & NICOBAR ISLANDS,1,BISHNU PADA RAY,BHARATIYA JANATA PARTY,KULDEEP RAI SHARMA,INDIAN NATIONAL CONGRESS,24396,Result Declared
AONLA,24,NEERAJ MAURYA,SAMAJWADI PARTY,DHARMENDRA KASHYAP,BHARATIYA JANATA PARTY,15969,Result Declared
ARAKU (ST),1,GUMMA THANUJA RANI,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,KOTHAPALLI GEETHA,BHARATIYA JANATA PARTY,50580,Result Declared
ARAMBAGH,29,BAG MITALI,ALL INDIA TRINAMOOL CONGRESS,ARUP KANTI DIGAR,BHARATIYA JANATA PARTY,6399,Result Declared
ARARIA,9,PRADEEP KUMAR SINGH,BHARATIYA JANATA PARTY,SHAHNAWAZ,RASHTRIYA JANATA DAL,20094,Result Declared
ARRAH,32,SUDAMA PRASAD,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),R. K. SINGH,BHARATIYA JANATA PARTY,59808,Result Declared
ARUNACHAL EAST,2,TAPIR GAO,BHARATIYA JANATA PARTY,BOSIRAM SIRAM,INDIAN NATIONAL CONGRESS,30421,Result Declared
ARUNACHAL WEST,1,KIREN RIJIJU,BHARATIYA JANATA PARTY,NABAM TUKI,INDIAN NATIONAL CONGRESS,100738,Result Declared
ASANSOL,40,SHATRUGHAN PRASAD SINHA,ALL INDIA TRINAMOOL CONGRESS,SURENDRAJEET SINGH AHLUWALIA,BHARATIYA JANATA PARTY,59564,Result Declared
ASKA,19,ANITA SUBHADARSHINI,BHARATIYA JANATA PARTY,RANJITA SAHU,BIJU JANATA DAL,99974,Result Declared
ATTINGAL,19,ADV ADOOR PRAKASH,INDIAN NATIONAL CONGRESS,V JOY,COMMUNIST PARTY OF INDIA (MARXIST),684,Result Declared
AURANGABAD,19,BHUMARE SANDIPANRAO ASARAM,SHIV SENA,IMTIAZ JALEEL SYED,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN,134650,Result Declared
AURANGABAD,37,ABHAY KUMAR SINHA,RASHTRIYA JANATA DAL,SUSHIL KUMAR SINGH,BHARATIYA JANATA PARTY,79111,Result Declared
AZAMGARH,69,DHARMENDRA YADAV,SAMAJWADI PARTY,DINESH LAL YADAV “NIRAHUA”,BHARATIYA JANATA PARTY,161035,Result Declared
BALAGHAT,15,BHARTI PARDHI,BHARATIYA JANATA PARTY,SAMRAT ASHOK SINGH SARASWAR,INDIAN NATIONAL CONGRESS,174512,Result Declared
BANSWARA,20,RAJ KUMAR ROAT,BHARAT ADIVASI PARTY,MAHENDRAJEETSINGH MALVIYA,BHARATIYA JANATA PARTY,247054,Result Declared
BARAMULLA,1,ABDUL RASHID SHEIKH,INDEPENDENT,OMAR ABDULLAH,JAMMU & KASHMIR NATIONAL CONFERENCE,204142,Result Declared
BARMER,17,UMMEDA RAM BENIWAL,INDIAN NATIONAL CONGRESS,RAVINDRA SINGH BHATI,INDEPENDENT,118176,Result Declared
BASTAR,10,MAHESH KASHYAP,BHARATIYA JANATA PARTY,KAWASI LAKHMA,INDIAN NATIONAL CONGRESS,55245,Result Declared
BETUL,29,DURGADAS (D. D.) UIKEY,BHARATIYA JANATA PARTY,RAMU TEKAM,INDIAN NATIONAL CONGRESS,379761,Result Declared
BHARATPUR,9,SANJNA JATAV,INDIAN NATIONAL CONGRESS,RAMSWAROOP KOLI,BHARATIYA JANATA PARTY,51983,Result Declared
BHILWARA,23,DAMODAR AGARWAL,BHARATIYA JANATA PARTY,C P JOSHI,INDIAN NATIONAL CONGRESS,354606,Result Declared
BHIND,2,SANDHYA RAY,BHARATIYA JANATA PARTY,PHOOL SINGH BARAIYA,INDIAN NATIONAL CONGRESS,64840,Result Declared
BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,BHARATIYA JANATA PARTY,RAO DAN SINGH,INDIAN NATIONAL CONGRESS,41510,Result Declared
BHOPAL,19,ALOK SHARMA,BHARATIYA JANATA PARTY,ADVOCATE ARUN SHRIVASTAVA,INDIAN NATIONAL CONGRESS,501499,Result Declared
BIKANER,2,ARJUN RAM MEGHWAL,BHARATIYA JANATA PARTY,GOVINDRAM MEGHWAL,INDIAN NATIONAL CONGRESS,55711,Result Declared
BILASPUR,5,TOKHAN SAHU,BHARATIYA JANATA PARTY,DEVENDRA YADAV,INDIAN NATIONAL CONGRESS,164558,Result Declared
BADAUN,23,ADITYA YADAV,SAMAJWADI PARTY,DURVIJAY SINGH SHAKYA,BHARATIYA JANATA PARTY,34991,Result Declared
BAGALKOT,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,BHARATIYA JANATA PARTY,SAMYUKTA SHIVANAND PATIL,INDIAN NATIONAL CONGRESS,68399,Result Declared
BAGHPAT,11,DR RAJKUMAR SANGWAN,RASHTRIYA LOK DAL,AMARPAL,SAMAJWADI PARTY,159459,Result Declared
BAHARAICH,56,ANAND KUMAR,BHARATIYA JANATA PARTY,RAMESH CHANDRA,SAMAJWADI PARTY,64227,Result Declared
BAHARAMPUR,10,PATHAN YUSUF,ALL INDIA TRINAMOOL CONGRESS,ADHIR RANJAN CHOWDHURY,INDIAN NATIONAL CONGRESS,85022,Result Declared
BALASORE,6,PRATAP CHANDRA SARANGI,BHARATIYA JANATA PARTY,LEKHASRI SAMANTSINGHAR,BIJU JANATA DAL,147156,Result Declared
BALLIA,72,SANATAN PANDEY,SAMAJWADI PARTY,NEERAJ SHEKHAR,BHARATIYA JANATA PARTY,43384,Result Declared
BALURGHAT,6,SUKANTA MAJUMDAR,BHARATIYA JANATA PARTY,BIPLAB MITRA,ALL INDIA TRINAMOOL CONGRESS,10386,Result Declared
BANASKANTHA,2,GENIBEN NAGAJI THAKOR,INDIAN NATIONAL CONGRESS,DR. REKHABEN HITESHBHAI CHAUDHARI,BHARATIYA JANATA PARTY,30406,Result Declared
BANDA,48,KRISHNA DEVI SHIVSHANKER PATEL,SAMAJWADI PARTY,R. K. SINGH PATEL,BHARATIYA JANATA PARTY,71210,Result Declared
BANGALORE NORTH,24,SHOBHA KARANDLAJE,BHARATIYA JANATA PARTY,PROFESSOR M.V RAJEEV GOWDA,INDIAN NATIONAL CONGRESS,259476,Result Declared
BANGALORE RURAL,23,DR C N MANJUNATH,BHARATIYA JANATA PARTY,D K SURESH,INDIAN NATIONAL CONGRESS,269647,Result Declared
BANGALORE SOUTH,26,TEJASVI SURYA,BHARATIYA JANATA PARTY,SOWMYA REDDY,INDIAN NATIONAL CONGRESS,277083,Result Declared
BANGALORE CENTRAL,25,P C MOHAN,BHARATIYA JANATA PARTY,MANSOOR ALI KHAN,INDIAN NATIONAL CONGRESS,32707,Result Declared
BANGAON,14,SHANTANU THAKUR,BHARATIYA JANATA PARTY,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,ALL INDIA TRINAMOOL CONGRESS,73693,Result Declared
BANKA,27,GIRIDHARI YADAV,JANATA DAL (UNITED),JAI PRAKASH NARAYAN YADAV,RASHTRIYA JANATA DAL,103844,Result Declared
BANKURA,36,ARUP CHAKRABORTY,ALL INDIA TRINAMOOL CONGRESS,DR. SUBHAS SARKAR,BHARATIYA JANATA PARTY,32778,Result Declared
BANSGAON,67,KAMLESH PASWAN,BHARATIYA JANATA PARTY,SADAL PRASAD,INDIAN NATIONAL CONGRESS,3150,Result Declared
BAPATLA (SC),15,KRISHNA PRASAD TENNETI,TELUGU DESAM,NANDIGAM SURESH BABU,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,208031,Result Declared
BARABANKI,53,TANUJ PUNIA,INDIAN NATIONAL CONGRESS,RAJRANI RAWAT,BHARATIYA JANATA PARTY,215704,Result Declared
BARAMATI,35,SUPRIYA SULE,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,SUNETRA AJITDADA PAWAR,NATIONALIST CONGRESS PARTY,158333,Result Declared
BARASAT,17,KAKOLI GHOSH DASTIDAR,ALL INDIA TRINAMOOL CONGRESS,SWAPAN MAJUMDER,BHARATIYA JANATA PARTY,114189,Result Declared
BARDHAMAN PURBA,38,DR. SHARMILA SARKAR,ALL INDIA TRINAMOOL CONGRESS,ASIM KUMAR SARKAR,BHARATIYA JANATA PARTY,160572,Result Declared
BARDHAMAN-DURGAPUR,39,AZAD KIRTI JHA,ALL INDIA TRINAMOOL CONGRESS,DILIP GHOSH,BHARATIYA JANATA PARTY,137981,Result Declared
BARDOLI,23,PARBHUBHAI NAGARBHAI VASAVA,BHARATIYA JANATA PARTY,CHAUDHARY SIDDHARTH AMARSINH,INDIAN NATIONAL CONGRESS,230253,Result Declared
BAREILLY,25,CHHATRA PAL SINGH GANGWAR,BHARATIYA JANATA PARTY,PRAVEEN SINGH ARON,SAMAJWADI PARTY,34804,Result Declared
BARGARH,1,PRADEEP PUROHIT,BHARATIYA JANATA PARTY,PARINITA MISHRA,BIJU JANATA DAL,251667,Result Declared
BARPETA,3,PHANI BHUSAN CHOUDHURY,ASOM GANA PARISHAD,DEEP BAYAN,INDIAN NATIONAL CONGRESS,222351,Result Declared
BARRACKPUR,15,PARTHA BHOWMICK,ALL INDIA TRINAMOOL CONGRESS,ARJUN SINGH,BHARATIYA JANATA PARTY,64438,Result Declared
BASIRHAT,18,SK NURUL ISLAM,ALL INDIA TRINAMOOL CONGRESS,REKHA PATRA,BHARATIYA JANATA PARTY,333547,Result Declared
BASTI,61,RAM PRASAD CHAUDHARY,SAMAJWADI PARTY,HARISH CHANDRA ALIAS HARISH DWIVEDI,BHARATIYA JANATA PARTY,100994,Result Declared
BATHINDA,11,HARSIMRAT KAUR BADAL,SHIROMANI AKALI DAL,GURMEET SINGH KHUDIAN,AAM AADMI PARTY,49656,Result Declared
BEED,39,BAJRANG MANOHAR SONWANE,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,PANKAJA GOPINATHRAO MUNDE,BHARATIYA JANATA PARTY,6553,Result Declared
BEGUSARAI,24,GIRIRAJ SINGH,BHARATIYA JANATA PARTY,ABDHESH KUMAR ROY,COMMUNIST PARTY OF INDIA,81480,Result Declared
BELGAUM,2,JAGADISH SHETTAR,BHARATIYA JANATA PARTY,MRINAL R HEBBALKAR,INDIAN NATIONAL CONGRESS,178437,Result Declared
BELLARY,9,E. TUKARAM,INDIAN NATIONAL CONGRESS,B. SREERAMULU,BHARATIYA JANATA PARTY,98992,Result Declared
BERHAMPUR,20,DR. PRADEEP KUMAR PANIGRAHY,BHARATIYA JANATA PARTY,BHRUGU BAXIPATRA,BIJU JANATA DAL,165476,Result Declared
BHADOHI,78,DR. VINOD KUMAR BIND,BHARATIYA JANATA PARTY,LALITESHPATI TRIPATHI,ALL INDIA TRINAMOOL CONGRESS,44072,Result Declared
BHADRAK,7,AVIMANYU SETHI,BHARATIYA JANATA PARTY,MANJULATA MANDAL,BIJU JANATA DAL,91544,Result Declared
BHAGALPUR,26,AJAY KUMAR MANDAL,JANATA DAL (UNITED),AJEET SHARMA,INDIAN NATIONAL CONGRESS,104868,Result Declared
BHANDARA GONDIYA,11,DR. PRASHANT YADAORAO PADOLE,INDIAN NATIONAL CONGRESS,SUNIL BABURAO MENDHE,BHARATIYA JANATA PARTY,37380,Result Declared
BHARUCH,22,MANSUKHBHAI DHANJIBHAI VASAVA,BHARATIYA JANATA PARTY,CHAITARBHAI DAMJIBHAI VASAVA,AAM AADMI PARTY,85696,Result Declared
BHAVNAGAR,15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),BHARATIYA JANATA PARTY,UMESHBHAI NARANBHAI MAKWANA,AAM AADMI PARTY,455289,Result Declared
BHIWANDI,23,BALYA MAMA - SURESH GOPINATH MHATRE,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,KAPIL MORESHWAR PATIL,BHARATIYA JANATA PARTY,66121,Result Declared
BHONGIR,14,CHAMALA KIRAN KUMAR REDDY,INDIAN NATIONAL CONGRESS,DR. BOORA NARSAIAH GOUD,BHARATIYA JANATA PARTY,222170,Result Declared
BHUBANESWAR,18,APARAJITA SARANGI,BHARATIYA JANATA PARTY,MANMATH KUMAR ROUTRAY,BIJU JANATA DAL,35152,Result Declared
BIDAR,7,SAGAR ESHWAR KHANDRE,INDIAN NATIONAL CONGRESS,BHAGWANTH KHUBA,BHARATIYA JANATA PARTY,128875,Result Declared
BIJAPUR,4,RAMESH JIGAJINAGI,BHARATIYA JANATA PARTY,RAJU ALAGUR.,INDIAN NATIONAL CONGRESS,77229,Result Declared
BIJNOR,4,CHANDAN CHAUHAN,RASHTRIYA LOK DAL,DEEPAK,SAMAJWADI PARTY,37508,Result Declared
BIRBHUM,42,SATABDI ROY,ALL INDIA TRINAMOOL CONGRESS,DEBTANU BHATTACHARYA,BHARATIYA JANATA PARTY,197650,Result Declared
BISHNUPUR,37,KHAN SAUMITRA,BHARATIYA JANATA PARTY,SUJATA MONDAL,ALL INDIA TRINAMOOL CONGRESS,5567,Result Declared
BOLANGIR,10,SANGEETA KUMARI SINGH DEO,BHARATIYA JANATA PARTY,SURENDRA SINGH BHOI,BIJU JANATA DAL,132664,Result Declared
BOLPUR,41,ASIT KUMAR MAL,ALL INDIA TRINAMOOL CONGRESS,PIYA SAHA,BHARATIYA JANATA PARTY,327253,Result Declared
BULANDSHAHR,14,DR BHOLA SINGH,BHARATIYA JANATA PARTY,SHIVRAM,INDIAN NATIONAL CONGRESS,275134,Result Declared
BULDHANA,5,JADHAV PRATAPRAO GANPATRAO,SHIV SENA,NARENDRA DAGDU KHEDEKAR,SHIV SENA (UDDHAV BALASAHEB THACKREY),29479,Result Declared
BUXAR,33,SUDHAKAR SINGH,RASHTRIYA JANATA DAL,MITHILESH TIWARI,BHARATIYA JANATA PARTY,30091,Result Declared
CHENNAI CENTRAL,4,DAYANIDHI MARAN,DRAVIDA MUNNETRA KAZHAGAM,VINOJ,BHARATIYA JANATA PARTY,244689,Result Declared
CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,DRAVIDA MUNNETRA KAZHAGAM,R. MANOHAR,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,339222,Result Declared
CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,DRAVIDA MUNNETRA KAZHAGAM,DR.TAMILISAI SOUNDARARAJAN,BHARATIYA JANATA PARTY,225945,Result Declared
CHHINDWARA,16,BUNTY VIVEK SAHU,BHARATIYA JANATA PARTY,NAKUL KAMALNATH,INDIAN NATIONAL CONGRESS,113618,Result Declared
CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,VIDUTHALAI CHIRUTHAIGAL KATCH,CHANDRAHASAN M,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,103554,Result Declared
CHITTORGARH,21,CHANDRA PRAKASH JOSHI,BHARATIYA JANATA PARTY,ANJANA UDAILAL,INDIAN NATIONAL CONGRESS,389877,Result Declared
CHURU,3,RAHUL KASWAN,INDIAN NATIONAL CONGRESS,DEVENDRA JHAJHARIA,BHARATIYA JANATA PARTY,72737,Result Declared
COIMBATORE,20,GANAPATHY RAJKUMAR P,DRAVIDA MUNNETRA KAZHAGAM,ANNAMALAI K,BHARATIYA JANATA PARTY,118068,Result Declared
CUDDALORE,26,M.K. VISHNUPRASAD,INDIAN NATIONAL CONGRESS,P. SIVAKOZHUNDU,DESIYA MURPOKKU DRAVIDA KAZHAGAM,185896,Result Declared
CHALAKUDY,11,BENNY BEHANAN,INDIAN NATIONAL CONGRESS,PROF C RAVEENDRANATH,COMMUNIST PARTY OF INDIA (MARXIST),63754,Result Declared
CHAMARAJANAGAR,22,SUNIL BOSE,INDIAN NATIONAL CONGRESS,BALARAJ.S,BHARATIYA JANATA PARTY,188706,Result Declared
CHANDAULI,76,BIRENDRA SINGH,SAMAJWADI PARTY,DR. MAHENDRA NATH PANDEY,BHARATIYA JANATA PARTY,21565,Result Declared
CHANDIGARH,1,MANISH TEWARI,INDIAN NATIONAL CONGRESS,SANJAY TANDON,BHARATIYA JANATA PARTY,2504,Result Declared
CHANDNI CHOWK,1,PRAVEEN KHANDELWAL,BHARATIYA JANATA PARTY,JAI PRAKASH AGARWAL,INDIAN NATIONAL CONGRESS,89325,Result Declared
CHANDRAPUR,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,INDIAN NATIONAL CONGRESS,MUNGANTIWAR SUDHIR SACCHIDANAND,BHARATIYA JANATA PARTY,260406,Result Declared
CHATRA,4,KALI CHARAN SINGH,BHARATIYA JANATA PARTY,KRISHNA NAND TRIPATHI,INDIAN NATIONAL CONGRESS,220959,Result Declared
CHEVELLA,10,KONDA VISHWESHWAR REDDY,BHARATIYA JANATA PARTY,DR GADDAM RANJITH REDDY,INDIAN NATIONAL CONGRESS,172897,Result Declared
CHHOTA UDAIPUR,21,JASHUBHAI BHILUBHAI RATHVA,BHARATIYA JANATA PARTY,SUKHRAMBHAI HARIYABHAI RATHWA,INDIAN NATIONAL CONGRESS,398777,Result Declared
CHIKKBALLAPUR,27,DR.K.SUDHAKAR,BHARATIYA JANATA PARTY,M.S. RAKSHA RAMAIAH,INDIAN NATIONAL CONGRESS,163460,Result Declared
CHIKKODI,1,PRIYANKA SATISH JARKIHOLI,INDIAN NATIONAL CONGRESS,ANNASAHEB SHANKAR JOLLE,BHARATIYA JANATA PARTY,90834,Result Declared
CHITRADURGA,18,GOVIND MAKTHAPPA KARJOL,BHARATIYA JANATA PARTY,B.N.CHANDRAPPA,INDIAN NATIONAL CONGRESS,48121,Result Declared
CHITTOOR(SC),25,DAGGUMALLA PRASADA RAO,TELUGU DESAM,REDDEPPA.N .,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,220479,Result Declared
