ID,State,PC_Name,Total Electors,Polled (%),Total Votes,Phase
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,315148,64.1,202018,1
2,Arunachal Pradesh,Arunachal East,375310,83.31,312658,1
3,Arunachal Pradesh,Arunachal West,517384,73.6,380783,1
4,Assam,Dibrugarh,1659588,76.75,1273744,1
5,Assam,Jorhat,1727121,79.89,1379749,1
6,Assam,Kaziranga,2050126,79.33,1626408,1
7,Assam,Lakhimpur,1577234,76.42,1205331,1
8,Assam,Sonitpur,1633800,78.46,1281959,1
9,Bihar,Aurangabad,1871564,50.35,942382,1
10,Bihar,Gaya,1816815,52.76,958623,1
11,Bihar,Jamui,1907126,51.25,977369,1
12,Bihar,Nawada,2006124,43.17,866102,1
13,Chhattisgarh,BASTAR,1472207,68.29,1005392,1
14,Jammu and Kashmir,UDHAMPUR,1623195,68.27,1108206,1
15,Lakshadweep,Lakshadweep,57784,84.16,48630,1
16,Madhya Pradesh,BALAGHAT,1873653,73.45,1376207,1
17,Madhya Pradesh,CHHINDWARA,1632190,79.83,1303001,1
18,Madhya Pradesh,JABALPUR,1896346,61,1156722,1
19,Madhya Pradesh,MANDLA,2101811,72.84,1530861,1
20,Madhya Pradesh,SHAHDOL,1777185,64.68,1149506,1
21,Madhya Pradesh,SIDHI,2028451,56.5,1146150,1
22,Maharashtra,Bhandara Gondiya,1827188,67.04,1224928,1
23,Maharashtra,Chandrapur,1837906,67.55,1241574,1
24,Maharashtra,Gadchiroli - Chimur,1617207,71.88,1162476,1
25,Maharashtra,Nagpur,2223281,54.32,1207738,1
26,Maharashtra,Ramtek,2049085,61.01,1250190,1
27,Manipur,Inner Manipur,991574,80.15,794790,1
28,Manipur,Outer Manipur,553078,68.83,380688,1
29,Meghalaya,Shillong,1400411,73.78,1033251,1
30,Meghalaya,Tura,826156,81.37,672284,1
31,Mizoram,MIZORAM,856364,56.87,487013,1
32,Nagaland,Nagaland,1317536,57.72,760507,1
33,Puducherry,PUDUCHERRY,1023699,78.9,807724,1
34,Rajasthan,ALWAR,2059888,60.07,1237446,1
35,Rajasthan,BHARATPUR,2114916,52.8,1116742,1
36,Rajasthan,BIKANER,2048399,54.11,1108418,1
37,Rajasthan,CHURU,2213187,63.61,1407716,1
38,Rajasthan,DAUSA,1899304,55.72,1058386,1
39,Rajasthan,GANGANAGAR,2102002,66.59,1399688,1
40,Rajasthan,JAIPUR,2287350,63.38,1449612,1
41,Rajasthan,JAIPUR RURAL,2184978,56.7,1238818,1
42,Rajasthan,JHUNJHUNU,2068540,52.93,1094900,1
43,Rajasthan,KARAULI-DHOLPUR,1975352,49.59,979618,1
44,Rajasthan,NAGAUR,2146725,57.23,1228494,1
45,Rajasthan,SIKAR,2214900,57.53,1274270,1
46,Sikkim,Sikkim,464140,79.88,370765,1
47,Tamil Nadu,ARAKKONAM,1562871,74.19,1159441,1
48,Tamil Nadu,ARANI,1496118,75.76,1133520,1
49,Tamil Nadu,CHENNAI CENTRAL,1350161,53.96,728614,1
50,Tamil Nadu,CHENNAI NORTH,1496224,60.11,899367,1
51,Tamil Nadu,CHENNAI SOUTH,2023133,54.17,1096026,1
52,Tamil Nadu,CHIDAMBARAM,1519847,76.37,1160762,1
53,Tamil Nadu,COIMBATORE,2106124,64.89,1366597,1
54,Tamil Nadu,CUDDALORE,1412746,72.57,1025298,1
55,Tamil Nadu,DHARMAPURI,1524896,81.2,1238184,1
56,Tamil Nadu,DINDIGUL,1607051,71.14,1143196,1
57,Tamil Nadu,ERODE,1538778,70.59,1086287,1
58,Tamil Nadu,KALLAKURICHI,1568681,79.21,1242597,1
59,Tamil Nadu,KANCHEEPURAM,1748866,71.68,1253582,1
60,Tamil Nadu,KANNIYAKUMARI,1557915,65.44,1019532,1
61,Tamil Nadu,KARUR,1429790,78.7,1125241,1
62,Tamil Nadu,KRISHNAGIRI,1623179,71.5,1160498,1
63,Tamil Nadu,MADURAI,1582271,62.04,981650,1
64,Tamil Nadu,MAYILADUTHURAI,1545568,70.09,1083243,1
65,Tamil Nadu,NAGAPATTINAM,1345120,71.94,967694,1
66,Tamil Nadu,NAMAKKAL,1452562,78.21,1136069,1
67,Tamil Nadu,NILGIRIS,1428387,70.95,1013410,1
68,Tamil Nadu,PERAMBALUR,1446352,77.43,1119881,1
69,Tamil Nadu,POLLACHI,1597467,70.41,1124743,1
70,Tamil Nadu,RAMANATHAPURAM,1617688,68.19,1103036,1
71,Tamil Nadu,SALEM,1658681,78.16,1296481,1
72,Tamil Nadu,SIVAGANGA,1633857,64.26,1049887,1
73,Tamil Nadu,SRIPERUMBUDUR,2382119,60.25,1435243,1
74,Tamil Nadu,TENKASI,1525439,67.65,1031961,1
75,Tamil Nadu,THANJAVUR,1501226,68.27,1024949,1
76,Tamil Nadu,THENI,1622949,69.84,1133513,1
77,Tamil Nadu,THOOTHUKKUDI,1458430,66.88,975468,1
78,Tamil Nadu,TIRUCHIRAPPALLI,1553985,67.51,1049093,1
79,Tamil Nadu,TIRUNELVELI,1654503,64.1,1060461,1
80,Tamil Nadu,TIRUPPUR,1608521,70.62,1135998,1
81,Tamil Nadu,TIRUVALLUR,2085991,68.59,1430738,1
82,Tamil Nadu,TIRUVANNAMALAI,1533099,74.24,1138102,1
83,Tamil Nadu,VELLORE,1528273,73.53,1123715,1
84,Tamil Nadu,VILUPPURAM,1503115,76.52,1150164,1
85,Tamil Nadu,VIRUDHUNAGAR,1501942,70.22,1054634,1
86,Tripura,Tripura West,1463526,81.48,1192435,1
87,Uttar Pradesh,Bijnor,1738307,58.73,1020947,1
88,Uttar Pradesh,Kairana,1722432,62.46,1075839,1
89,Uttar Pradesh,Moradabad,2059578,62.18,1280706,1
90,Uttar Pradesh,Muzaffarnagar,1817472,59.13,1074608,1
91,Uttar Pradesh,Nagina,1644909,60.75,999203,1
92,Uttar Pradesh,Pilibhit,1831699,63.11,1155917,1
93,Uttar Pradesh,Rampur,1731836,55.85,967200,1
94,Uttar Pradesh,Saharanpur,1855310,66.14,1227083,1
95,Uttarakhand,Almora,1339327,48.74,652726,1
96,Uttarakhand,Garhwal,1369388,52.42,717834,1
97,Uttarakhand,Haridwar,2035726,63.53,1293362,1
98,Uttarakhand,Nainital-Udhamsingh Nagar,2015809,62.47,1259180,1
99,Uttarakhand,Tehri Garhwal,1577664,53.76,848186,1
100,West Bengal,Alipurduars,1773252,79.76,1414258,1
101,West Bengal,Coochbehar,1966893,82.16,1616079,1
102,West Bengal,Jalpaiguri,1885963,83.66,1577828,1
103,Assam,Darrang-Udalguri,2209314,82.01,1811764,2
104,Assam,Diphu,901032,75.74,682441,2
105,Assam,Karimganj,1412148,80.48,1136538,2
106,Assam,Nagaon,1817204,84.97,1544081,2
107,Assam,Silchar,1369578,79.05,1082616,2
108,Bihar,Banka,1856566,54.48,1011513,2
109,Bihar,Bhagalpur,1983031,53.5,1060982,2
110,Bihar,Katihar,1833009,63.76,1168752,2
111,Bihar,Kishanganj,1829994,62.84,1149988,2
112,Bihar,Purnia,1893698,63.08,1194484,2
113,Chhattisgarh,KANKER,1654440,76.23,1261103,2
114,Chhattisgarh,MAHASAMUND,1762477,75.02,1322125,2
115,Chhattisgarh,RAJNANDGAON,1868021,77.42,1446247,2
116,Jammu and Kashmir,JAMMU,1780835,72.22,1286144,2
117,Karnataka,Bangalore central,2433751,54.06,1315612,2
118,Karnataka,Bangalore North,3214496,54.45,1750372,2
119,Karnataka,Bangalore Rural,2802580,68.3,1914030,2
120,Karnataka,Bangalore South,2341759,53.17,1245168,2
121,Karnataka,Chamarajanagar,1778310,76.82,1366015,2
122,Karnataka,Chikkballapur,1981347,77,1525718,2
123,Karnataka,Chitradurga,1856876,73.3,1361031,2
124,Karnataka,Dakshina Kannada,1817603,77.56,1409653,2
125,Karnataka,Hassan,1736610,77.68,1348966,2
126,Karnataka,Kolar,1726914,78.27,1351646,2
127,Karnataka,Mandya,1779243,81.67,1453060,2
128,Karnataka,Mysore,2092222,70.62,1477576,2
129,Karnataka,Tumkur,1661309,78.05,1296720,2
130,Karnataka,Udupi Chikmagalur,1585162,77.15,1222888,2
131,Kerala,Alappuzha,1400082,75.05,1050726,2
132,Kerala,Alathur,1337496,73.42,981945,2
133,Kerala,Attingal,1396807,69.48,970517,2
134,Kerala,Chalakudy,1310529,71.94,942787,2
135,Kerala,Ernakulam,1324047,68.29,904131,2
136,Kerala,Idukki,1250157,66.55,831936,2
137,Kerala,Kannur,1358368,77.21,1048839,2
138,Kerala,Kasaragod,1452230,76.04,1104331,2
139,Kerala,Kollam,1326648,68.15,904047,2
140,Kerala,Kottayam,1254823,65.61,823237,2
141,Kerala,Kozhikode,1429631,75.52,1079683,2
142,Kerala,Malappuram,1479921,72.95,1079547,2
143,Kerala,Mavelikkara,1331880,65.95,878360,2
144,Kerala,Palakkad,1398143,73.57,1028627,2
145,Kerala,Pathanamthitta,1429700,63.37,906051,2
146,Kerala,Ponnani,1470804,69.34,1019889,2
147,Kerala,Thiruvananthapuram,1430531,66.47,950829,2
148,Kerala,Thrissur,1483055,72.9,1081125,2
149,Kerala,Vadakara,1421883,78.41,1114950,2
150,Kerala,Wayanad,1462423,73.57,1075921,2
151,Madhya Pradesh,DAMOH,1925314,56.48,1087455,2
152,Madhya Pradesh,HOSHANGABAD,1855692,67.21,1247298,2
153,Madhya Pradesh,KHAJURAHO,1997483,56.97,1137867,2
154,Madhya Pradesh,REWA,1852126,49.43,915444,2
155,Madhya Pradesh,SATNA,1705260,61.94,1056175,2
156,Madhya Pradesh,TIKAMGARH,1826585,60,1096023,2
157,Maharashtra,Akola,1890814,61.79,1168366,2
158,Maharashtra,Amravati,1836078,63.67,1169121,2
159,Maharashtra,Buldhana,1782700,62.03,1105761,2
160,Maharashtra,Hingoli,1817734,63.54,1154958,2
161,Maharashtra,Nanded,1851843,60.94,1128564,2
162,Maharashtra,Parbhani,2123056,62.26,1321868,2
163,Maharashtra,Wardha,1682771,64.85,1091351,2
164,Maharashtra,Yavatmal- Washim,1940916,62.87,1220189,2
165,Manipur,Outer Manipur,484949,85.11,412737,2
166,Rajasthan,AJMER,1995699,59.66,1190561,2
167,Rajasthan,BANSWARA,2200438,73.88,1625731,2
168,Rajasthan,BARMER,2206237,75.93,1675276,2
169,Rajasthan,BHILWARA,2147159,60.37,1296228,2
170,Rajasthan,CHITTORGARH,2170167,68.61,1488898,2
171,Rajasthan,JALORE,2297328,62.89,1444866,2
172,Rajasthan,JHALAWAR-BARAN,2030525,69.71,1415420,2
173,Rajasthan,JODHPUR,2132713,64.27,1370616,2
174,Rajasthan,KOTA,2088023,71.26,1487879,2
175,Rajasthan,PALI,2343232,57.19,1339989,2
176,Rajasthan,RAJSAMAND,2060942,58.39,1203299,2
177,Rajasthan,TONK-SAWAI MADHOPUR,2148128,56.58,1215309,2
178,Rajasthan,UDAIPUR,2230971,66.66,1487268,2
179,Tripura,Tripura East,1396761,80.36,1122424,2
180,Uttar Pradesh,Aligarh,1997234,56.93,1137051,2
181,Uttar Pradesh,Amroha,1716641,64.58,1108579,2
182,Uttar Pradesh,Baghpat,1653146,56.16,928392,2
183,Uttar Pradesh,Bulandshahr,1859462,56.42,1049189,2
184,Uttar Pradesh,Gautam Buddha Nagar,2675148,53.63,1434667,2
185,Uttar Pradesh,Ghaziabad,2945487,49.88,1469260,2
186,Uttar Pradesh,Mathura,1929550,49.41,953388,2
187,Uttar Pradesh,Meerut,2000530,58.94,1179121,2
188,West Bengal,Balurghat,1561966,79.09,1235347,2
189,West Bengal,Darjeeling,1765744,74.76,1320072,2
190,West Bengal,Raiganj,1790245,76.18,1363854,2
191,Assam,Barpeta,1966847,85.24,1676633,3
192,Assam,Dhubri,2660827,92.08,2450041,3
193,Assam,Guwahati,2036846,78.39,1596664,3
194,Assam,Kokrajhar,1484571,83.55,1240306,3
195,Bihar,Araria,2018767,61.93,1250261,3
196,Bihar,Jhanjharpur,2003040,54.48,1091258,3
197,Bihar,Khagaria,1840217,57.52,1058539,3
198,Bihar,Madhepura,2071166,58.29,1207368,3
199,Bihar,Supaul,1927207,63.55,1224821,3
200,Chhattisgarh,BILASPUR,2102687,64.77,1361871,3
201,Chhattisgarh,DURG,2090414,73.68,1540193,3
202,Chhattisgarh,JANJGIR-CHAMPA,2056047,67.56,1389012,3
203,Chhattisgarh,KORBA,1618864,75.63,1224268,3
204,Chhattisgarh,RAIGARH,1838547,78.85,1449673,3
205,Chhattisgarh,RAIPUR,2375379,66.82,1587116,3
206,Chhattisgarh,SURGUJA,1819347,79.89,1453444,3
207,"Dadra & Nagar Haveli and
Daman & Diu","Dadar & Nagar
Haveli",283024,72.52,205248,3
208,"Dadra & Nagar Haveli and
Daman & Diu",Daman & Diu,134189,68.77,92279,3
209,Goa,North Goa,580577,77.69,451042,3
210,Goa,South Goa,598767,74.47,445916,3
211,Gujarat,Ahmedabad East,2038162,54.72,1115317,3
212,Gujarat,Ahmedabad West,1726987,55.45,957573,3
213,Gujarat,Amreli,1732810,50.29,871373,3
214,Gujarat,Anand,1780182,65.04,1157763,3
215,Gujarat,Banaskantha,1961924,69.62,1365989,3
216,Gujarat,Bardoli,2048408,64.81,1327669,3
217,Gujarat,Bharuch,1723353,69.16,1191877,3
218,Gujarat,Bhavnagar,1916900,53.92,1033629,3
219,Gujarat,Chhota Udaipur,1821708,69.15,1259760,3
220,Gujarat,Dahod,1875136,59.31,1112211,3
221,Gujarat,Gandhinagar,2182736,59.8,1305197,3
222,Gujarat,Jamnagar,1817864,57.67,1048410,3
223,Gujarat,Junagadh,1795110,58.91,1057462,3
224,Gujarat,Kachchh,1943136,56.14,1090878,3
225,Gujarat,Kheda,2007404,58.12,1166619,3
226,Gujarat,Mahesana,1770617,59.86,1059938,3
227,Gujarat,Navsari,2223550,59.66,1326542,3
228,Gujarat,Panchmahal,1896743,58.85,1116171,3
229,Gujarat,Patan,2019916,58.56,1182950,3
230,Gujarat,Porbandar,1768212,51.83,916519,3
231,Gujarat,Rajkot,2112273,59.69,1260768,3
232,Gujarat,Sabarkantha,1976349,63.56,1256210,3
233,Gujarat,Surendranagar,2033419,55.09,1120128,3
234,Gujarat,Vadodara,1949573,61.59,1200768,3
235,Gujarat,Valsad,1859974,72.71,1352413,3
236,Karnataka,Bagalkot,1806183,72.66,1312319,3
237,Karnataka,Belgaum,1923788,71.49,1375283,3
238,Karnataka,Bellary,1884040,73.59,1386553,3
239,Karnataka,Bidar,1892962,65.47,1239358,3
240,Karnataka,Bijapur,1946090,66.32,1290719,3
241,Karnataka,Chikkodi,1761694,78.66,1385688,3
242,Karnataka,Davanagere,1709244,76.99,1315916,3
243,Karnataka,Dharwad,1831975,74.37,1362421,3
244,Karnataka,Gulbarga,2098202,62.25,1306119,3
245,Karnataka,Haveri,1792774,77.6,1391214,3
246,Karnataka,Koppal,1866397,70.99,1324898,3
